"filename", "language", "Dart", "comment", "blank", "total"
"e:\flutter projects\eventsmanager\lib\core\class\api_handling_view.dart", "Dart", 113, 2, 20, 135
"e:\flutter projects\eventsmanager\lib\core\class\app_bindings.dart", "Dart", 29, 10, 6, 45
"e:\flutter projects\eventsmanager\lib\core\class\base_will_pop_handler.dart", "Dart", 29, 3, 5, 37
"e:\flutter projects\eventsmanager\lib\core\class\status_request.dart", "Dart", -9, 0, 0, -9
"e:\flutter projects\eventsmanager\lib\core\constants\app_image_asset.dart", "Dart", 22, 3, 2, 27
"e:\flutter projects\eventsmanager\lib\core\constants\image_asset.dart", "Dart", -17, -3, -1, -21
"e:\flutter projects\eventsmanager\lib\core\functions\dum.dart", "Dart", 0, 39, 2, 41
"e:\flutter projects\eventsmanager\lib\core\middleware\my_middleware.dart", "Dart", 7, 4, 8, 19
"e:\flutter projects\eventsmanager\lib\core\routing\routes.dart", "Dart", 16, 0, 0, 16
"e:\flutter projects\eventsmanager\lib\core\services\api\api_error_handler.dart", "Dart", -65, 208, 29, 172
"e:\flutter projects\eventsmanager\lib\core\services\api\api_exceptions.dart", "Dart", 0, 0, 2, 2
"e:\flutter projects\eventsmanager\lib\core\services\api\api_service.dart", "Dart", 19, 1, 7, 27
"e:\flutter projects\eventsmanager\lib\core\services\api\api_status.dart", "Dart", 27, 0, 4, 31
"e:\flutter projects\eventsmanager\lib\core\services\api\dio_client.dart", "Dart", -122, 289, 30, 197
"e:\flutter projects\eventsmanager\lib\core\services\shared_pref_service.dart", "Dart", -4, 4, 0, 0
"e:\flutter projects\eventsmanager\lib\features\Events\presentation\manager\eventDetails\event_details_controller.dart", "Dart", 2, 0, 0, 2
"e:\flutter projects\eventsmanager\lib\features\Events\presentation\manager\root_binding.dart", "Dart", 2, -1, 0, 1
"e:\flutter projects\eventsmanager\lib\features\Events\presentation\view\root.dart", "Dart", 2, 0, 0, 2
"e:\flutter projects\eventsmanager\lib\features\auth\data\repo\auth_repo.dart", "Dart", 174, 11, 33, 218
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\checkEmail\check_email_controller.dart", "Dart", 25, -15, 5, 15
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\completeProfile\complete_profile_controller.dart", "Dart", 53, 5, 6, 64
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\forgetPasswordVerifyCode\forget_password_verifycode_controller.dart", "Dart", 43, -15, 9, 37
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\login\login_controller.dart", "Dart", 22, 13, 6, 41
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\resetPassword\resetpassword_controller.dart", "Dart", 25, 0, 3, 28
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\signupVerifyCode\signup_verify_code_controller.dart", "Dart", 45, -14, 9, 40
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\manager\signup\signup_controller.dart", "Dart", 0, -2, -1, -3
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\check_email_view.dart", "Dart", 12, 0, 0, 12
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\complete_profile_view.dart", "Dart", 15, 0, 1, 16
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\forget_password_verify_code_view.dart", "Dart", -2, -2, 1, -3
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\login_view.dart", "Dart", -3, -1, 1, -3
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\reset_password_successful_view.dart", "Dart", 39, 0, 3, 42
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\resetpassword_view.dart", "Dart", 12, 0, 0, 12
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\sign_up_verify_code_view.dart", "Dart", 7, -2, 0, 5
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\signup_view.dart", "Dart", -19, -1, -1, -21
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\continue_with_body_auth.dart", "Dart", -25, 0, -3, -28
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\profile_avatar.dart", "Dart", 2, 0, 0, 2
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\social_button.dart", "Dart", -34, 0, -4, -38
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\verification_pin.dart", "Dart", 52, 0, 3, 55
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\manager\profile_settings_controller.dart", "Dart", 40, 2, 7, 49
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\view\profile_settings_view.dart", "Dart", 107, 3, 8, 118
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\view\widgets\section.dart", "Dart", 35, 0, 3, 38
"e:\flutter projects\eventsmanager\lib\features\profileSettings\presentation\view\widgets\settings_tile.dart", "Dart", 45, 0, 4, 49
"e:\flutter projects\eventsmanager\lib\features\settings\presentation\view\settings_view.dart", "Dart", -12, 0, -3, -15
"e:\flutter projects\eventsmanager\lib\main.dart", "Dart", -4, 0, -1, -5
"Total", "-", 705, 541, 203, 1449
