"filename", "language", "Dart", "comment", "blank", "total"
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\reset_password_successful_view.dart", "Dart", 39, 0, 3, 42
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\resetpassword_view.dart", "Dart", 101, 0, 4, 105
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\sign_up_verify_code_view.dart", "Dart", 105, 0, 3, 108
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\signup_view.dart", "Dart", 134, 2, 10, 146
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\bottom_text_auth.dart", "Dart", 34, 0, 3, 37
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\custome_icon_logo.dart", "Dart", 35, 0, 3, 38
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\custome_text_body_auth.dart", "Dart", 20, 0, 3, 23
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\custome_text_title_auth.dart", "Dart", 16, 0, 3, 19
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\drop_list.dart", "Dart", 58, 0, 4, 62
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\profile_avatar.dart", "Dart", 75, 4, 6, 85
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\text_above_field.dart", "Dart", 26, 1, 3, 30
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\verification_pin.dart", "Dart", 54, 0, 3, 57
"e:\flutter projects\eventsmanager\lib\features\auth\presentation\view\widgets\verification_timer.dart", "Dart", 52, 0, 3, 55
"e:\flutter projects\eventsmanager\lib\features\events\data\models\event_location_result.dart", "Dart", 11, 0, 3, 14
"e:\flutter projects\eventsmanager\lib\features\events\data\models\event_model.dart", "Dart", 279, 5, 27, 311
"e:\flutter projects\eventsmanager\lib\features\events\data\models\event_type.dart", "Dart", 5, 0, 0, 5
"e:\flutter projects\eventsmanager\lib\features\events\data\models\invite_role.dart", "Dart", 4, 0, 1, 5
"e:\flutter projects\eventsmanager\lib\features\events\data\models\user_search_model.dart", "Dart", 20, 0, 2, 22
"e:\flutter projects\eventsmanager\lib\features\events\data\repo\event_repo.dart", "Dart", 169, 3, 22, 194
"e:\flutter projects\eventsmanager\lib\features\events\presentation\manager\attendedEvents\attended_events_controller.dart", "Dart", 34, 0, 7, 41
