"filename", "language", "Dart", "comment", "blank", "total"
"e:\flutter projects\eventsmanager\lib\core\class\api_error_handling_view.dart", "Dart", 153, 7, 25, 185
"e:\flutter projects\eventsmanager\lib\core\class\api_handling_view.dart", "Dart", -113, -2, -20, -135
"e:\flutter projects\eventsmanager\lib\core\class\app_bindings.dart", "Dart", 8, 0, 1, 9
"e:\flutter projects\eventsmanager\lib\core\class\base_will_pop_handler.dart", "Dart", -29, -3, -5, -37
"e:\flutter projects\eventsmanager\lib\core\class\event_access.dart", "Dart", -7, 0, -4, -11
"e:\flutter projects\eventsmanager\lib\core\class\image_service.dart", "Dart", 91, 4, 15, 110
"e:\flutter projects\eventsmanager\lib\core\class\notification_helper.dart", "Dart", 138, 19, 27, 184
"e:\flutter projects\eventsmanager\lib\core\constants\app_colors.dart", "Dart", 1, 1, 0, 2
"e:\flutter projects\eventsmanager\lib\core\constants\app_image_asset.dart", "Dart", 1, 1, 0, 2
"e:\flutter projects\eventsmanager\lib\core\constants\egypt_governorates.dart", "Dart", 100, 27, 27, 154
"e:\flutter projects\eventsmanager\lib\core\constants\payment_method_list.dart", "Dart", 5, 0, 1, 6
"e:\flutter projects\eventsmanager\lib\core\functions\dum.dart", "Dart", 0, 51, 8, 59
"e:\flutter projects\eventsmanager\lib\core\routing\routes.dart", "Dart", 52, 2, 9, 63
"e:\flutter projects\eventsmanager\lib\core\routing\routes_name.dart", "Dart", 8, 2, 2, 12
"e:\flutter projects\eventsmanager\lib\core\services\api\api_exceptions.dart", "Dart", 0, 0, 3, 3
"e:\flutter projects\eventsmanager\lib\core\services\api\api_service.dart", "Dart", 40, -1, -1, 38
"e:\flutter projects\eventsmanager\lib\core\services\api\dio_client.dart", "Dart", 88, 39, 25, 152
"e:\flutter projects\eventsmanager\lib\core\services\fcm_service.dart", "Dart", 41, 0, 12, 53
"e:\flutter projects\eventsmanager\lib\core\services\shared_pref_service.dart", "Dart", 1, 0, 0, 1
"e:\flutter projects\eventsmanager\lib\core\utils\app_validator.dart", "Dart", 9, 0, 1, 10
"e:\flutter projects\eventsmanager\lib\core\utils\validation_types.dart", "Dart", 1, 0, 0, 1
"e:\flutter projects\eventsmanager\lib\features\Events\data\models\event_list.dart", "Dart", -783, 0, -4, -787
"e:\flutter projects\eventsmanager\lib\features\Events\data\models\event_location_result.dart", "Dart", -11, 0, -3, -14
"e:\flutter projects\eventsmanager\lib\features\Events\data\models\event_model.dart", "Dart", -18, -3, -1, -22
"e:\flutter projects\eventsmanager\lib\features\Events\data\models\event_permission.dart", "Dart", -14, 0, -1, -15
"e:\flutter projects\eventsmanager\lib\features\Events\data\models\event_role.dart", "Dart", -38, 0, -5, -43
"e:\flutter projects\eventsmanager\lib\features\Events\data\models\event_type.dart", "Dart", -5, 0, 0, -5
"e:\flutter projects\eventsmanager\lib\features\Events\presentation\manager\attendedEvents\attended_events_controller.dart", "Dart", -57, -1, -19, -77
"e:\flutter projects\eventsmanager\lib\features\Events\presentation\manager\createEvent\create_event_controller.dart", "Dart", -171, -15, -33, -219
"e:\flutter projects\eventsmanager\lib\features\Events\presentation\manager\createdEvents\created_event_controller.dart", "Dart", -57, -1, -20, -78
